Ti Zr Hf V Nb Ta Mo W Re Ru Al Cr Si surf gsf D
0.125 0.000 0.000 0.472 0.292 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.025 0.674 3.003
0.125 0.000 0.000 0.486 0.278 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.036 0.675 3.017
0.125 0.000 0.000 0.500 0.264 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.039 0.674 3.024
0.125 0.000 0.000 0.514 0.250 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.047 0.672 3.045
0.125 0.000 0.000 0.528 0.236 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.044 0.672 3.044
0.125 0.000 0.000 0.542 0.222 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.044 0.674 3.032
0.125 0.000 0.000 0.556 0.208 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.059 0.679 3.034
0.125 0.000 0.000 0.569 0.194 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.065 0.684 3.018
0.292 0.000 0.000 0.556 0.042 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.034 0.672 3.028
0.292 0.000 0.000 0.569 0.028 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.040 0.674 3.025
0.292 0.000 0.000 0.583 0.014 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.046 0.675 3.031
0.333 0.000 0.000 0.528 0.028 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.020 0.667 3.029
0.333 0.000 0.000 0.542 0.014 0.000 0.000 0.000 0.000 0.000 0.111 0.000 0.000 2.021 0.669 3.021
0.389 0.000 0.000 0.139 0.361 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.987 0.643 3.093
0.389 0.000 0.000 0.153 0.347 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.987 0.640 3.103
0.389 0.000 0.000 0.167 0.333 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.642 3.095
0.389 0.000 0.000 0.181 0.319 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.644 3.086
0.389 0.000 0.000 0.194 0.306 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.645 3.081
0.389 0.000 0.000 0.208 0.292 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.645 3.084
0.389 0.000 0.000 0.222 0.278 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.988 0.646 3.077
0.389 0.000 0.000 0.236 0.264 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.991 0.647 3.076
0.389 0.000 0.000 0.250 0.250 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.997 0.648 3.082
0.389 0.000 0.000 0.264 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.998 0.653 3.062
0.389 0.000 0.000 0.278 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.999 0.653 3.060
0.389 0.000 0.000 0.292 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.001 0.655 3.054
0.389 0.000 0.000 0.306 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.003 0.661 3.030
0.389 0.000 0.000 0.319 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.003 0.660 3.033
0.431 0.000 0.000 0.125 0.333 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.979 0.606 3.264
0.431 0.000 0.000 0.139 0.319 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.981 0.619 3.200
0.431 0.000 0.000 0.153 0.306 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.981 0.632 3.137
0.431 0.000 0.000 0.167 0.292 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.983 0.633 3.130
0.431 0.000 0.000 0.181 0.278 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.981 0.632 3.134
0.431 0.000 0.000 0.194 0.264 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.981 0.632 3.136
0.431 0.000 0.000 0.208 0.250 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.980 0.636 3.115
0.431 0.000 0.000 0.222 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.980 0.637 3.107
0.431 0.000 0.000 0.236 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.980 0.639 3.098
0.431 0.000 0.000 0.250 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.982 0.640 3.098
0.431 0.000 0.000 0.264 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.983 0.640 3.101
0.431 0.000 0.000 0.278 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.986 0.642 3.094
0.431 0.000 0.000 0.292 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.993 0.647 3.079
0.431 0.000 0.000 0.306 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.994 0.651 3.065
0.431 0.000 0.000 0.319 0.139 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.994 0.651 3.062
0.431 0.000 0.000 0.333 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.998 0.652 3.062
0.431 0.000 0.000 0.347 0.111 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.997 0.659 3.032
0.431 0.000 0.000 0.361 0.097 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.000 0.661 3.025
0.431 0.000 0.000 0.375 0.083 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 2.001 0.667 3.001
0.472 0.000 0.000 0.181 0.236 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.966 0.607 3.237
0.472 0.000 0.000 0.194 0.222 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.964 0.606 3.239
0.472 0.000 0.000 0.208 0.208 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.964 0.616 3.188
0.472 0.000 0.000 0.222 0.194 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.964 0.619 3.176
0.472 0.000 0.000 0.236 0.181 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.966 0.621 3.168
0.472 0.000 0.000 0.250 0.167 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.968 0.627 3.139
0.472 0.000 0.000 0.264 0.153 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.968 0.630 3.124
0.472 0.000 0.000 0.278 0.139 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.969 0.631 3.119
0.472 0.000 0.000 0.292 0.125 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.971 0.631 3.123
0.472 0.000 0.000 0.306 0.111 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.972 0.631 3.126
0.472 0.000 0.000 0.319 0.097 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.976 0.632 3.127
0.472 0.000 0.000 0.333 0.083 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.973 0.636 3.102
0.472 0.000 0.000 0.347 0.069 0.000 0.000 0.000 0.000 0.000 0.000 0.111 0.000 1.979 0.638 3.100
